id,nameWithOwner,url,stargazerCount,createdAt,pushedAt,primaryLanguage
MDEwOlJlcG9zaXRvcnkxMDQzMzc3NzM=,1c7/chinese-independent-developer,https://github.com/1c7/chinese-independent-developer,47016,2017-09-21T11:08:23Z,2026-03-06T13:56:25Z,
MDEwOlJlcG9zaXRvcnkxMzU3ODYwOTM=,typescript-cheatsheets/react,https://github.com/typescript-cheatsheets/react,46983,2018-06-02T04:08:16Z,2026-02-13T07:17:32Z,{'name': 'JavaScript'}
MDEwOlJlcG9zaXRvcnk2MTg5MzM5OQ==,brillout/awesome-react-components,https://github.com/brillout/awesome-react-components,46968,2016-06-24T15:19:33Z,2026-01-26T16:36:45Z,
MDEwOlJlcG9zaXRvcnk2NTM4ODkxNw==,jakevdp/PythonDataScienceHandbook,https://github.com/jakevdp/PythonDataScienceHandbook,46966,2016-08-10T14:24:36Z,2024-06-26T19:17:33Z,{'name': 'Jupyter Notebook'}
MDEwOlJlcG9zaXRvcnkzNDMwMjY5OA==,serverless/serverless,https://github.com/serverless/serverless,46945,2015-04-21T03:48:40Z,2026-03-04T20:54:13Z,{'name': 'JavaScript'}
MDEwOlJlcG9zaXRvcnk0MTkxMjc5MQ==,v2ray/v2ray-core,https://github.com/v2ray/v2ray-core,46928,2015-09-04T11:42:53Z,2025-10-06T03:01:00Z,{'name': 'Go'}
MDEwOlJlcG9zaXRvcnk1MjM5MTg1,slab/quill,https://github.com/slab/quill,46922,2012-07-30T23:23:18Z,2025-07-25T06:09:23Z,{'name': 'TypeScript'}
MDEwOlJlcG9zaXRvcnk1MTUyMjg1,square/okhttp,https://github.com/square/okhttp,46915,2012-07-23T13:42:55Z,2026-03-05T09:54:22Z,{'name': 'Kotlin'}
MDEwOlJlcG9zaXRvcnk1MzIzODgxMw==,Homebrew/brew,https://github.com/Homebrew/brew,46868,2016-03-06T05:08:38Z,2026-03-06T20:03:20Z,{'name': 'Ruby'}
MDEwOlJlcG9zaXRvcnk3NzQxODU2,pixijs/pixijs,https://github.com/pixijs/pixijs,46692,2013-01-21T22:40:50Z,2026-03-06T15:58:30Z,{'name': 'TypeScript'}
